고장발생일,건물명,주소,승강기고유번호
2023-09-18,운암동미라보3차,광주광역시 북구 서강로 155 (운암동),7047985
2023-09-17,호평프라자,경기도 남양주시 늘을2로 32 (호평동),2073246
2023-09-16,해남파크사이드,전라남도 해남군 해남읍 구교3길 36-23  (해남파크사이드 아파트),7048034
2023-09-14,도안아이파크,대전광역시 서구 도안동로 183 (도안동),5032960
2023-09-14,바울센터,전라북도 전주시 완산구 안행로 130 (서완산동1가),7038868
2023-09-12,석촌에비앙하우스,서울특별시 송파구 백제고분로34길 14-6 (석촌동),0129885
2023-09-11,푸른숨LH9단지아파트,"강원특별자치도 원주시 혁신로 346 , 관리사무소  (반곡동, 원주 혁신 푸른숨 LH 9단지)",4014388
2023-09-10,대구월배힐스테이트,"대구광역시 달서구 조암남로 132 (대천동, 월배힐스테이트아파트)",6015927
2023-09-10,신리성지,충청남도 당진시 합덕읍 평야6로 135 ,5038369
2023-09-09,서보한마음 101,인천광역시 부평구 경인로920번길 26 (부평동),2161463
2023-09-08,민락엘스퀘어,경기도 의정부시 용민로 493 (민락동),2182680
2023-09-06,산들마을서광청구아파트,"경기도 의정부시 오목로 171 (민락동, 산들마을서광·청구아파트)",2038147
2023-09-05,문화육교,대전광역시 중구 문화로157번길 2 (문화동),5077854
2023-09-05,우경싸이트빌,경기도 고양시 덕양구 화신로272번길 11 (화정동),2067267
2023-09-04,계명오피스텔I,서울특별시 영등포구 국회대로53길 24-14 (당산동),0031276
2023-09-03,구봉마을주공아파트7단지,대전광역시 서구 관저로 48 (관저동) ,5048557
2023-09-01,블루스카이,부산광역시 부산진구 개금온정로 6 (개금동),8061421
2023-08-29,근전빌딩,경기도 안산시 단원구 와동로 52 (와동),2107379
2023-08-29,보광타워,서울특별시 동대문구 황물로 90 (답십리동),0133904
2023-08-28,더끌리움 트윈2차,경기도 김포시 김포한강10로 176 더끌리움트윈2차 (구래동),2209361
2023-08-26,연성래미안아파트,"경기도 시흥시 인선길 77 (장곡동, 매꼴마을삼성아파트)",2108951
2023-08-23,성남우찬셀레스빌1차,경기도 성남시 수정구 수정로 316 (신흥동),2143387
2023-08-23,안양천 횡단보도육교,서울특별시 금천구 독산동 719-5번지외 11필지 안양천 횡단보도육교 ,0149228
2023-08-22,가산 미소지움,서울특별시 금천구 서부샛길 528 (가산동),0122790
2023-08-21,햇빛마을20단지주공아파트,"경기도 고양시 덕양구 충장로152번길 39  (행신동, 햇빛마을20단지아파트)",2134818
2023-08-20,대웅솔랜드,경상북도 구미시 화신로 166-6 (송정동),6011819
2023-08-19,동양타운스빌,경상남도 양산시 평산중앙로 65 (평산동),8009896
2023-08-18,아산득산부영아파트,"충청남도 아산시 온천대로 1105-17 (득산동, 부영아파트)",5036902
2023-08-17,더샵센트럴시티(한뜰마을2단지),세종특별자치시  갈매로 480  (어진동),5033860
2023-08-17,수완중흥S클래스1단지,"광주광역시 광산구 수등로76번길 74 (신가동, 수완1단지 중흥에스-클래스)",7001625
2023-08-17,홈플러스(주) 계산점,인천광역시 계양구 오조산공원로 14 (계산동),2125398
2023-08-16,퍼플315,강원특별자치도 양양군 강현면 해맞이길 8-5 ,4006554
2023-08-15,가양9-2단지아파트,"서울특별시 강서구 허준로 234 (가양동, 가양9단지아파트)",0021742
2023-08-13,수루배마을3단지,세종특별자치시 반곡로 15 (반곡동),5076202
2023-08-13,신일해피트리아파트,경기도 용인시 기흥구 구성로 184 (언남동),2066749
2023-08-13,우성아트빌,서울특별시 강동구 양재대로113길 51 (길동),0105308
2023-08-13,한라비발디아파트,경기도 수원시 장안구 만석로20번길 28 (정자동),2005163
2023-08-12,대전탄방동63-23,대전광역시 서구 문정로132번길 48 ,5090587
2023-08-11,보령동대현대아파트,충청남도 보령시 동현로 46 (동대동),5012127
2023-08-11,힐스테이트 강동 리버뷰,서울특별시 강동구 올림픽로91길 30 (암사동),0135759
2023-08-10,낙원스카이뷰1차,경기도 성남시 수정구 수정로 131 (태평동),2023090
2023-08-10,부강주택관리(주)첨단2지구부영아파트,"광주광역시 북구 첨단연신로 166 (신용동, 광주첨단2지구 사랑으로 부영아파트)",7044234
2023-08-10,원흥4차아파트,"강원특별자치도 원주시 치악로 1634  (단구동, 원흥아파트)",4010849
2023-08-09,서현빌딩,서울특별시 용산구 청파로47다길 27 (청파동2가),0005618
2023-08-06,둔덕동라온유아파트,전라남도 여수시 상암로 16 (둔덕동),7005353
2023-08-06,이매촌금강아파트,경기도 성남시 분당구 서현로 177 (이매동),2075509
2023-08-04,벽산메가트리움,"서울특별시 영등포구 문래로26길 6 (문래동3가, 문래동메가트리움)",0062086
2023-08-01,간석금호어울림아파트,인천광역시 남동구 석산로 138 (간석동，어울림마을금호아파트),2036244
2023-08-01,대성캐슬,부산광역시 사상구 광장로86번길 12 (괘법동),8087004
2023-08-01,상주 육아종합지원센터,경상북도 상주시 무양2길 49 (무양동),6057897
2023-07-30,미사강변도시13단지아파트,"경기도 하남시 아리수로 565 (망월동, 미사강변도시13단지)",2133178
2023-07-30,중화동 파크빌,서울특별시 중랑구 중랑역로3나길 13 (중화동),0124375
2023-07-30,초전현대아파트,경상남도 진주시 초전남로 60 (초전동),8063346
2023-07-29,기장마르빌,부산광역시 기장군 기장읍 차성남로51번길 7 ,8051674
2023-07-28,송도센트로드,인천광역시 연수구 인천타워대로 323 (송도동),2226301
2023-07-28,영신오피스텔,전라남도 목포시 옥암로124번길 23 (옥암동),7012673
2023-07-28,칠곡롯데아파트,대구광역시 북구 구암로 12 (태전동),6005297
2023-07-27,세아아파트,"경기도 동두천시 큰시장로 64 (생연동, 세아아파트)",2064206
2023-07-27,홈플러스(주)청주점,충청북도 청주시 흥덕구 서부로 1291 (가경동),5020821
2023-07-26,골든렉시움,충청남도 금산군 금산읍 인삼로 24-18 ,5076091
2023-07-25,성일코아빌딩,경기도 수원시 영통구 매영로 85 (매탄동),2004250
2023-07-23,사직제이파크,"부산광역시 동래구 아시아드대로176번길 25  (사직동, 사직제이파크)",8084523
2023-07-23,조은프라자,대전광역시 유성구 지족북로66번길 60 (지족동),5051211
2023-07-22,영등포병원,서울특별시 영등포구 당산로31길 10  (당산동3가),0021648
2023-07-21,고덕하늘채시그니처,경기도 평택시 고덕면 효덕새싹길 55 ,2238492
2023-07-21,삼경빌딩,서울특별시 성북구 아리랑로5길 24 (동소문동7가),0018438
2023-07-20,밀리온2,대전광역시 서구 구봉로 139 (관저동),5067968
2023-07-18,한국철도공사 경의중앙선 용문역,경기도 양평군 용문면 용문역길 21 ,2130856
2023-07-16,롯데캐슬골드파크2차아파트,강원특별자치도 원주시 지정면 신지정로 300 ,4017565
2023-07-15,세미콜론문래,서울특별시 영등포구 문래로28길 25 (문래동3가 55-18),0127441
2023-07-14,거여쌍용예가아파트,서울특별시 송파구 오금로 512 (거여동),0036637
2023-07-14,평택서정롯데캐슬아파트,경기도 평택시 송탄로 170 (서정동),2056805
2023-07-13,광주디자인센터,광주광역시 북구 첨단과기로176번길 27 (오룡동),7032824
2023-07-12,단국대학교 천안캠퍼스,충청남도 천안시 동남구 단대로 119 (안서동),5012969
2023-07-11,상수래미안밤섬리베뉴2차,"서울특별시 마포구 독막로20나길 21 (상수동, 래미안 밤섬리베뉴Ⅱ)",0068890
2023-07-09,수루배마을3단지,세종특별자치시 반곡로 15 (반곡동),5076201
2023-07-09,안양호계두산위브,경기도 안양시 동안구 엘에스로45번길 30 ,2235895
2023-07-09,현대썬앤빌 청계,"서울특별시 동대문구 고미술로 71 (답십리동, 청계썬앤빌)",0113763
2023-07-08,테크노밸리,대구광역시 달성군 유가면 테크노공원로 73 ,6034469
2023-07-07,범성빌딩,대구광역시 서구 국채보상로 403 (비산동),6015434
2023-07-07,유니시티어반브릭스 오피스,"경상남도 창원시 의창구 중동중앙로 47 ,유니시티어반브릭스 오피스",8103675
2023-07-06,갈현동1단지 e-편한세상,서울특별시 은평구 서오릉로21길 47 (구산동),0083548
2023-07-05,열매마을8단지아파트,대전광역시 유성구 은구비남로 34 (노은동),5030596
2023-07-05,한맥CC&노블리아,경상북도 예천군 호명면 한맥골프장길 72 ,6031892
2023-07-04,명산빌딩,경기도 군포시 번영로 492 (금정동),2027008
2023-07-03,구미옥계세영리첼아파트,경상북도 구미시 산호대로 955 (옥계동),6055627
2023-07-03,더트라움B동,"대구광역시 북구 학정로9길 14  (태전동, 더트라움B)",6048370
2023-07-03,전주인후초등학교,전라북도 전주시 덕진구 무삼지로 67 (인후동1가),7039456
2023-07-01,학동1휴먼시아APT,광주광역시 동구 남문로 734 (학동),7004234
2023-06-30,남사물류센터,경기도 용인시 처인구 남사면 처인성로 1027 ,2213069
2023-06-30,한빛아파트,대전광역시 유성구 어은로 57  (어은동),5054123
2023-06-29,신내진로아파트,서울특별시 중랑구 신내로17길 41 (신내동),0094321
2023-06-26,한울남산빌리지,울산광역시 남구 거마로 100 (신정동),8008334
2023-06-26,횡성드림모텔,강원특별자치도 횡성군 횡성읍 문정로30번길 7 ,4000214
2023-06-25,남천상가 공영주차장,경기도 이천시 어재연로10번길 25(중리동) 남천상가 공영주차장,2257097
2023-06-25,에이스아크로빌,제주특별자치도 제주시 원노형5길 30 (노형동),9000069
2023-06-25,청전아파트,전라남도 화순군 화순읍 광덕로 156 (화순청전아파트),7019179
2023-06-25,호텔인터시티,대전광역시 유성구 온천로 92 (봉명동),5016303
2023-06-24,다산유승블루웨일1차,경기도 남양주시 다산중앙로19번길 21 (다산동),2219687
2023-06-24,화성태안LH1단지,경기도 화성시 장조4로 14 (화성태안LH1단지),2249199
2023-06-23,대성프라자,인천광역시 계양구 경명대로 1117 (계산동),2029793
2023-06-23,탄현덕이보도육교,경기도 고양시 일산서구 경의로 956 탄현덕이보도육교(덕이동),2233566
2023-06-22,신동탄푸르지오아파트,"경기도 화성시 동탄지성로 405  (기산동, 대우푸르지오아파트)",2006774
2023-06-21,용인명지대역서희스타힐스2단지, 경기도 용인시 처인구 역북동233외 23필지 ,2246126
2023-06-21,제일우성2단지,경상북도 포항시 북구 삼흥로62번길 27-8 (두호동),6029644
2023-06-19,백마1단지삼성아파트,"경기도 고양시 일산동구 일산로 241 (마두동, 백마마을1단지아파트)",2020033
2023-06-19,신곡건영아파트,경기도 의정부시 능곡로26번길 40 (신곡동，신곡건영아파트),2098878
2023-06-18,수지현대성우아파트,경기도 용인시 수지구 풍덕천로 52 (풍덕천동),2048176
2023-06-18,한마루삼성아파트,대전광역시 서구 둔산북로 160 (둔산동),5033186
2023-06-17,대우미래사랑,경기도 수원시 권선구 효원로230번길 38 (권선동),2082037
2023-06-16,래미안힐스테이트고덕,서울특별시 강동구 아리수로50길 50 (고덕동),0117901
2023-06-16,메이플하우스B동,경기도 남양주시 화도읍 먹갓로동길 4-11 ,2155398
2023-06-15,성남단대푸르지오아파트,"경기도 성남시 수정구 산성대로437번길 7 , 성남단대푸르지오아파트 (단대동)",2054880
2023-06-14,송파테라타워2,서울특별시 송파구 송파대로 201 (문정동),0121984
2023-06-13,엑스포아파트,대전광역시 유성구 엑스포로 448 (전민동) ,5016925
2023-06-13,정자아이파크,경기도 성남시 분당구 백현로 100 (정자동),2023937
2023-06-10,주택관리공단두암주공2단지,"광주광역시 북구 삼정로 7 (두암동, 두암주공2단지아파트)",7035222
2023-06-09,부산마리안느호텔,부산광역시 해운대구 해운대해변로298번길 33 (중동) ,8108147
2023-06-09,정원팰리스102동,서울특별시 강북구 삼각산로20길 17 (수유동),0120702
2023-06-07,건대스타시티 롯데백화점,서울특별시 광진구 능동로 92 (자양동),0006306
2023-06-07,힐스테이트황금산아파트,"경기도 남양주시 경춘로 468-40 (지금동, 힐스테이트 황금산)",2155312
2023-06-04,신동아파밀리에아파트,충청남도 천안시 서북구 천안천4길 18-10 (와촌동),5035614
2023-06-02,부곡대우이안아파트,경기도 의왕시 부곡복지관길 41 (삼동),2052412
2023-05-30,(주)이랜드파크켄싱턴리조트경주,경상북도 경주시 보문로 182-29 (북군동),6007479
2023-05-30,미래아동병원,광주광역시 남구 대남대로 131 (주월동),7028044
2023-05-28,진월동대주1차아파트,"광주광역시 남구 서문대로678번길 7 (진월동, 대주아파트)",7028823
2023-05-27,가경주공2단지아파트,충청북도 청주시 흥덕구 가경로 26 (가경동),5040571
2023-05-26,동주빌딩,부산광역시 연제구 반송로 20 (연산동),8000767
2023-05-26,빌리브프리미어,대구광역시 중구 공평로 2 ~ 46 (삼덕동2가 166) ,6066704
2023-05-24,삼한골든뷰 센트럴파크,부산광역시 부산진구 중앙대로 821 (범전동),8098663
2023-05-22,동삭현대아파트,경기도 평택시 동삭로 386 (동삭동),2093657
2023-05-20,흥덕마을14단지호반베르디움,경기도 용인시 기흥구 흥덕3로 60 (영덕동),2129164
2023-05-19,도농부영애시앙(상가),경기도 남양주시 도농로 24 (도농동),2037447
2023-05-19,우방사랑마을아파트,"대구광역시 수성구 달구벌대로 2317 (수성동4가, 우방사랑마을아파트)",6020444
2023-05-19,한국철도공사경의중앙선응봉역,서울특별시 성동구 고산자로 123 (응봉동),0102522
2023-05-18,무등빌딩,광주광역시 동구 금남로 238 (금남로2가),7012428
2023-05-18,플루리움2단지,"경기도 남양주시 도농로 34 (도농동, 부영그린타운)",2073370
2023-05-17,더타운 8동 9동 10동,경기도 이천시 장호원읍 장터로 74-6 ,2185362
2023-05-17,린하우스,경기도 이천시 아리역로15번길 3-11 (창전동),2093776
2023-05-17,야탑청소년수련관,경기도 성남시 분당구 벌말로30번길 35 (야탑동),2229080
2023-05-17,황학아크로타워,서울특별시 중구 퇴계로 447 (황학동),0005926
2023-05-16,반석마을2단지,대전광역시 유성구 지족로 343 (지족동),5028339
2023-05-15,아산용화엘크루아파트,"충청남도 아산시 어의정로 92-7 (용화동, 용화엘크루아파트)",5052607
2023-05-12,둔산주공3단지아파트,대전광역시 서구 월평북로 11 (월평동),5045012
2023-05-12,선운지구 다사로움아파트,"광주광역시 광산구 선운로 34 (선암동, 선운지구다사로움아파트)",7046418
2023-05-12,해피트리빌딩,전라북도 전주시 덕진구 기지로 72 (중동),7045729
2023-05-11,천안풍세 한양수자인 2단지,충청남도 천안시 동남구 풍세면 보성리 772번지 일원 ,5092953
2023-05-09,백화아트빌,경상남도 창원시 마산회원구 3·15대로 822 (합성동),8029276
2023-05-07,진부태장위너빌,강원도 평창군 진부면 진부중앙로 145-3 ,4011153
2023-05-06,김해센텀두산위브더제니스,경상남도 김해시 주촌면 천곡로 26 (김해센텀두산위브더제니스),8099923
2023-05-03,한국철도공사 부평역(1번출구),인천광역시 부평구 광장로 4 (부평동),2215147
2023-05-02,주은모아아파트,"광주광역시 서구 풍암2로 36 (풍암동, 주은모아아파트)",7030991
2023-05-01,후곡4단지금호한양아파트,"경기도 고양시 일산서구 후곡로 36  (일산동, 후곡마을4단지아파트)",2068525
2023-04-30,꼬모빌딩,서울특별시 강남구 도산대로81길 28 (청담동),0066200
2023-04-29,한림대학교,강원도 춘천시 한림대학길 1  (옥천동),4012744
2023-04-28,이충프라자,경기도 평택시 송탄로 66 (이충동),2012517
2023-04-27,한강금호어울림1단지,경기도 김포시 양촌읍 양곡로449번길 15 ,2159681
2023-04-26,용인송담대학교,경기도 용인시 처인구 동부로 61 용인송담대학(마평동),2087209
2023-04-26,홈플러스정관점,부산광역시 기장군 정관읍 정관5로 50 ,8076911
2023-04-22,유창프라자,경기도 고양시 덕양구 통일로 345 (신원동),2183677
2023-04-21,수지강남빌리지,경기도 용인시 수지구 수지로113번길 16 수지강남빌리지,2090157
2023-04-19,경성대학교,부산광역시 남구 수영로 309 (대연동),8023042
2023-04-18,노은한화꿈에그린2단지,대전광역시 유성구 지족북로 60 (지족동),5033473
2023-04-16,약수역 더 시티,서울특별시 중구 동호로7길 14 (신당동),0145918
2023-04-15,은하마을효성쌍용아파트,경기도 부천시 중동로279번길 22 (중동),2057734
2023-04-15,포레나신진주,경상남도 진주시 진주역로96번길 15 ,8102697
2023-04-14,구미문성경남아너스빌,경상북도 구미시 고아읍 들성로7길 21 (경남아너스빌),6008117
2023-04-13,(주)롯데백화점 대구역사점,대구광역시 북구 태평로 161 (칠성동2가),6000543
2023-04-13,"세운3-1,4,5구역 ",서울시 중구 입정동 189-1 ,0158110
2023-04-13,초원빌딩,경기도 김포시 사우중로11번길 7 (사우동),2111667
2023-04-11,속초 IPARK SUITE(속초 영랑),강원도 속초시 영랑동 113-12 ,4022128
2023-04-05,개포2차현대APT,서울특별시 강남구 언주로 107 (개포동),0034872
2023-04-04,판교원마을 모아미래도아파트,"경기도 성남시 분당구 판교원로 237 (판교동, 판교원마을7단지아파트)",2115455
2023-04-03,빌라쥬드 아난티,부산시 기장군 기장읍 시랑리 217외56필지 ,8110436
2023-04-02,동일하이빌1차아파트,경기도 용인시 기흥구 구성로 105-15 (언남동),2100852
2023-04-01,공릉2단지아파트,서울특별시 노원구 동일로198가길 149 (공릉동),0017301
2023-04-01,신세계정형외과,전라북도 전주시 덕진구 송천중앙로 125 (송천동1가),7024795
2023-03-30,제주드림타워,제주특별자치도 제주시 노연로 12 (노형동),9013148
2023-03-29,영일빌딩,경기도 평택시 평택1로 16 (평택동),2106689
2023-03-28,루체빌,서울특별시 중랑구 면목로76길 7 ,0149487
2023-03-28,세양빌딩,경기도 평택시 삼남로 27-5 (칠원동),2012813
2023-03-27,여월휴먼시아1단지아파트,"경기도 부천시 소사로 639 (여월동, 여월휴먼시아1단지)",2127127
2023-03-26,신림주공1단지아파트,서울특별시 관악구 광신길 160 (신림동),0098279
2023-03-24,LG메트로시티3차아파트,부산광역시 남구 분포로 111 (용호동) ,8052097
2023-03-24,수지4차삼성아파트,경기도 용인시 수지구 수풍로 90 (풍덕천동，삼성래미안4차아파트),2048810
2023-03-24,안락경동리인,"부산광역시 동래구 충렬대로446번길 67  (안락동, 안락경동리인아파트)",8060345
2023-03-23,용정한라비발디2단지,"충청북도 청주시 상당구 용정로 35  (용정동, 용정 한라비발디 2단지)",5042122
2023-03-23,유원하나2차아파트,충청북도 충주시 국원초2길 20 (연수동),5041300
2023-03-21,탕정캐슬,충청남도 아산시 탕정면 탕정면로 54-14 ,5038047
2023-03-20,래미안힐스테이트고덕,서울특별시 강동구 아리수로50길 50 (고덕동),0112755
2023-03-18,수원역푸르지오자이,경기도 수원시 팔달구 고등로 15 (고등동),2216824
2023-03-15,보광빌딩,강원도 속초시 중앙로 3 (교동),4004326
2023-03-15,양정현대2차아파트,부산광역시 부산진구 거제대로 37 (양정동),8060447
2023-03-14,서울산업진흥원,서울특별시 마포구 월드컵북로 400 (상암동),0103553
2023-03-14,엠파이어호텔 별관,광주광역시 광산구 임방울대로800번길 27 (월계동),7053430
2023-03-13,비아호반아파트,"광주광역시 광산구 비아로 185 (비아동, 하남지구 호반아파트)",7019915
2023-03-13,신내역금강펜테리움센트럴파크아파트,서울특별시 중랑구 용마산로136길 160 ,0145818
2023-03-12,학익동아풍림아파트,"인천광역시 미추홀구 소성로 120 (학익동, 동아풍림아파트)",2091753
2023-03-11,호반베르디움1차아파트,"광주광역시 북구 첨단연신로133번길 8 (신용동, 광주첨단2지구 호반베르디움 1단지)",7037643
2023-03-10,트로피컬하이드어웨이,제주특별자치도 서귀포시 대정읍 상모리 87-22 ,9012266
2023-03-09,로얄타워,경기도 부천시 길주로 80  (상동),2080999
2023-03-09,문경코아루,"경상북도 문경시 당교6길 25 (모전동, 문경코아루아파트)",6032901
2023-03-08,경기대학교 서울캠퍼스 본관,서울특별시 서대문구 경기대로9길 24 (충정로2가),0041476
2023-03-07,두일하나아파트,전라북도 전주시 완산구 장승배기로 50 (삼천동1가，두일하나아파트),7026211
2023-03-07,아름마을풍림아파트,경기도 성남시 분당구 탄천로 59 (이매동),2146629
2023-03-06,월곡래미안아파트,서울특별시 성북구 오패산로 90 (하월곡동),0043547
2023-03-04,학동1휴먼시아APT,광주광역시 동구 남문로 734 (학동),7004231
2023-03-01,도안마을1단지아파트,대전광역시 유성구 도안대로 560 (봉명동),5024232
2023-02-28,대덕비즈센터,대전광역시 유성구 테크노4로 17 (관평동),5077862
2023-02-26,금강센테리움(주),충청북도 충주시 노은면 솔고개로 750 ,5053031
2023-02-25,삼계두곡공원,경상남도 김해시 두곡로 18-19 (삼계동),8104288
2023-02-25,제석산호반힐하임아파트,"광주광역시 남구 서문대로 780 (주월동, 제석산호반힐하임아파트)",7037719
2023-02-22,경북대학교친환경교육및연구센터,경상북도 군위군 효령면 치산효령로 1610 ,6009968
2023-02-22,에코루벤,제주특별자치도 제주시 노연로 49  (노형동),9011159
2023-02-21,가나베스트타운,경기도 부천시 상동로 87  (상동),2127733
2023-02-21,상암월드컵파크10단지,서울특별시 마포구 월드컵북로 502-36 (상암동),0038350
2023-02-20,남양주평내화성파크힐즈,경기도 남양주시 평내로 76 (평내동，화성아파트),2037878
2023-02-20,태영빌딩,서울특별시 성북구 오패산로5길 69 (하월곡동),0055149
2023-02-19,송도해모로월드뷰,"인천광역시 연수구 송도과학로27번길 30 (송도동, 송도해모로월드뷰)",2071260
2023-02-18,비엔비타워,부산광역시 사하구 낙동남로1423번길 2 (하단동),8023136
2023-02-18,한빛스위티아파트,경기도 성남시 중원구 성남대로1130번길 26 (성남동),2115625
2023-02-17,청량리4구역(건축)(가동),서울 동대문구 전농동 620-47 ,0158311
2023-02-14,풍암우미광장아파트,"광주광역시 서구 풍암순환로 183 (풍암동, 우미광장아파트)",7003634
2023-02-13,한국알콜기흥사옥,경기도 용인시 기흥구 탑실로35번길 14 (공세동),2167273
2023-02-12,로얄쇼핑(주),대전광역시 서구 도산로 64 (도마동),5002809
2023-02-12,반포미도1차아파트,서울특별시 서초구 서초중앙로29길 28 (반포동),0100022
2023-02-12,부산동래대우아파트,부산광역시 동래구 충렬대로140번길 32 (온천동),8023154
2023-02-10,덕정은동마을주공1단지아파트,경기도 양주시 화합로1426번길 39 (덕정동),2130164
2023-02-09,e편한세상 수택 센트럴파크,"경기도 구리시 안골로64번길 10 (수택동, e편한세상 수택 센트럴파크)",2214219
2023-02-09,강진 코아루 블루핀,전라남도 강진군 군동면 백금포길 8 ,7063686
2023-02-08,김천율곡스퀘어3,경상북도 김천시 혁신3로 5 (율곡동),6046719
2023-02-08,속초 IPARK SUITE(속초 영랑),강원도 속초시 영랑동 113-12 ,4022129
2023-02-07,동강대학교-산학협력관,광주광역시 북구 동문대로 50 (두암동),7002459
2023-02-07,미즈모아산부인과(관저청솔빌딩),대전광역시 서구 관저로 158 (관저동),5004210
2023-02-07,송도더샵퍼스트월드(주거),"인천광역시 연수구 해돋이로 107 (송도동, 송도 더샵 퍼스트월드)",2125107
2023-02-05,누리아파트,대전광역시 서구 청사로 70 (월평동),5058061
2023-02-05,북한산힐스테이트3차,서울특별시 은평구 불광로 122-10 (불광동),0050067
2023-02-03,(주)청암,대구광역시 북구 동북로 290 (복현동),6040762
2023-02-02,늘푸른빌딩,"제주특별자치도 제주시 서광로 215 (삼도일동, 늘푸른빌딩)",9003700
2023-02-01,도율빌딩,경기도 군포시 고산로 691 (산본동),2070662
2023-01-31,동아솔레시티아파트,경기도 용인시 기흥구 보정로 30 (보정동),2083045
2023-01-27,용산세광태왕2차타운,대구광역시 달서구 용산서로 9 (용산동),6023002
2023-01-27,으뜸철강광주영업소,경기도 광주시 초월읍 하오개길 56 ,2231583
2023-01-27,이천코아루휴티스2단지,경기도 이천시 애련정로 67-15 ,2232171
2023-01-26,아시아드 대광로제비앙,"인천광역시 서구 모월곶로 41 (경서동, 아시아드 대광로제비앙)",2184511
2023-01-26,케럿글로벌사옥,서울특별시 용산구 이태원로 268-20 (한남동),0084510
2023-01-26,화인빌딩,전라남도 나주시 배멧2길 19 (빛가람동),7052980
2023-01-25,금호베스트빌4단지아파트,경기도 용인시 수지구 상현로 67-12 (상현동),2049769
2023-01-25,느리울13단지,대전광역시 서구 관저동로 42 (관저동),5028797
2023-01-25,더하스빌,제주특별자치도 제주시 연신로 289  (영평동),9006293
2023-01-24,노은영무예다음아파트,대전광역시 유성구 지족로 92 (지족동),5067808
2023-01-24,연제2차대주피오레,"광주광역시 북구 양일로 52 (연제동, 연제2차대주피오레)",7012374
2023-01-23,광교마을40단지아파트,경기도 수원시 영통구 광교마을로 156 (하동),2087839
2023-01-23,삼계화성타운,경상남도 창원시 마산회원구 내서읍 삼계8길 31 (화성아파트),8026875
2023-01-23,시흥빌딩,경기도 성남시 분당구 매화로 49 (야탑동),2075469
2023-01-22,우암대승하이아트,부산광역시 남구 유엔로 66 (우암동),8035119
2023-01-20,무원마을두산아파트,"경기도 고양시 덕양구 소원로 47 (행신동, 무원마을6단지아파트)",2042140
2023-01-18,대동씨코아아파트,경상남도 창원시 마산합포구 월영동로 8 (해운동),8063216
2023-01-14,동탄2트레이더스, 경기도 화성시 오산동 동탄2택지개발지구 유통업무설비용지 4블럭 로트   ,2252651
2023-01-14,둔산은하수아파트,대전광역시 서구 둔산남로 15 (둔산동),5029545
2023-01-14,센트럴파크,"대구광역시 북구 대천로 100  (동천동, 화성센트럴파크)",6026435
2023-01-14,엔에이치에프경남아너스빌아파트,"경기도 화성시 동탄순환대로20길 69 (목동, 엔에이치에프경남아너스빌)",2198755
2023-01-13,양주GS자이5단지아파트,"경기도 양주시 삼숭로38번길 190 (삼숭동, 양주자이5단지아파트)",2064780
2023-01-12,신촌e편한세상2단지,"서울특별시 서대문구 북아현로1길 17 (북아현동, e편한세상신촌 2단지)",0116484
2023-01-10,(주)소노호텔앤리조트,강원도 홍천군 서면 한치골길 262 ,4009531
2023-01-09,연산한양아파트,부산광역시 연제구 온천천남로 110 (연산동),8047555
2023-01-09,의왕동백아파트,"경기도 의왕시 오전로 150 (오전동, 동백아파트)",2145532
2023-01-08,금호어울림아파트,충청북도 청주시 흥덕구 대신로73번길 14 (복대동),5005949
2023-01-06,휴먼블루드빌,울산광역시 남구 월평로48번길 9 (신정동),8105319
2023-01-05,반석마을8단지,대전광역시 유성구 반석동로 82 (반석동),5054980
2023-01-04,아산탕정5차(D3-1),충청남도 아산시 탕정면 갈산리 124-1 (D3-1) ,5095952
2023-01-04,충남형더행복한주택(예산주교)공동주택,충청남도 예산군 예산읍 주교리 258-2 ,5094721
2023-01-04,태전경남아너스빌,경기도 광주시 장지동 692-63외 3필지 ,2249849
2023-01-04,파주한라비발디아파트,경기도 파주시 조리읍 능안로 37 ,2110231
2023-01-02,분평주공3-2단지,충청북도 청주시 서원구 1순환로1137번길 130 (분평동),5020390
2022-12-30,아리따움빌,서울특별시 중랑구 용마공원로9길 4 (망우동),0053599
2022-12-29,단국프라자,경기도 용인시 수지구 죽전로 172 (죽전동),2101433
2022-12-29,산본하나로빌딩,경기도 군포시 고산로 693 (산본동),2118065
2022-12-28,우방장원맨션,대구광역시 수성구 청호로 370 (범어동),6037614
2022-12-27,신원아파트,"서울특별시 중랑구 망우로 504-7  (망우동, 신원아파트)",0044532
2022-12-27,인덕원푸른마을대우1차아파트,경기도 안양시 동안구 학의로 390 (평촌동，푸른마을대우아파트),2117905
2022-12-27,한길교회,서울특별시 중랑구 면목로85길 67 (상봉동),0086098
2022-12-25,반석마을4단지,대전광역시 유성구 반석로 46 (반석동),5054238
2022-12-25,참솔마을월드메르디앙아파트,경기도 용인시 기흥구 동백죽전대로 283 (중동，참솔마을월드메르디앙),2082884
2022-12-25,황학동코아루주상복합,서울특별시 중구 난계로11길 30 (황학동),0102102
2022-12-24,보금자리,부산광역시 사하구 낙동남로1347번길 2 (하단동),8035763
2022-12-23,미림빌딩,강원도 원주시 관설안길 3-41 (관설동),4011288
2022-12-23,용산베르디움프렌즈,서울특별시 용산구 백범로99길 40 ,0146048
2022-12-22,더샵원주센트럴파크3단지아파트,강원도 원주시 한지공원길 25-2 외 10필지,4020098
